concept_name,table_name,field_name,concept_with_context
Waves3+4,patient,cohort,patient_cohort_Waves3+4
Waves1+2,patient,cohort,patient_cohort_Waves1+2
Both,patient,cohort,patient_cohort_Both
Male,patient,gender,patient_gender_Male
Female,patient,gender,patient_gender_Female
White,patient,self_reported_race,patient_self_reported_race_White
Unknown,patient,self_reported_race,patient_self_reported_race_Unknown
Asian,patient,self_reported_race,patient_self_reported_race_Asian
Black,patient,self_reported_race,patient_self_reported_race_Black
PacificIslander,patient,self_reported_race,patient_self_reported_race_PacificIslander
Multiracial,patient,self_reported_race,patient_self_reported_race_Multiracial
AmericanIndian,patient,self_reported_race,patient_self_reported_race_AmericanIndian
Declined,patient,self_reported_race,patient_self_reported_race_Declined
NON-HISPANIC,patient,self_reported_ethnicity,patient_self_reported_ethnicity_NON-HISPANIC
UNKNOWN,patient,self_reported_ethnicity,patient_self_reported_ethnicity_UNKNOWN
HISPANIC,patient,self_reported_ethnicity,patient_self_reported_ethnicity_HISPANIC
DECLINED,patient,self_reported_ethnicity,patient_self_reported_ethnicity_DECLINED
Prostate Cancer,patient,prior_malignancy,patient_prior_malignancy_Prostate Cancer
Endometrial cancer|Lobular carcinoma in situ,patient,prior_malignancy,patient_prior_malignancy_Endometrial cancer|Lobular carcinoma in situ
Breast Cancer,patient,prior_malignancy,patient_prior_malignancy_Breast Cancer
Squamous cell carcinoma,patient,prior_malignancy,patient_prior_malignancy_Squamous cell carcinoma
Hodgkin Lymphoma,patient,prior_malignancy,patient_prior_malignancy_Hodgkin Lymphoma
Ovarian cancer,patient,prior_malignancy,patient_prior_malignancy_Ovarian cancer
Esophageal Cancer,patient,prior_malignancy,patient_prior_malignancy_Esophageal Cancer
Basal Cell Carcinoma,patient,prior_malignancy,patient_prior_malignancy_Basal Cell Carcinoma
Uterine Sarcoma,patient,prior_malignancy,patient_prior_malignancy_Uterine Sarcoma
Non-Hodgkins Lymphoma,patient,prior_malignancy,patient_prior_malignancy_Non-Hodgkins Lymphoma
Melanoma,patient,prior_malignancy,patient_prior_malignancy_Melanoma
Lung Cancer,patient,prior_malignancy,patient_prior_malignancy_Lung Cancer
Skin cancer,patient,prior_malignancy,patient_prior_malignancy_Skin cancer
Squamous cell carcinoma|Renal cell carcinoma,patient,prior_malignancy,patient_prior_malignancy_Squamous cell carcinoma|Renal cell carcinoma
Adenocarcinoma,patient,prior_malignancy,patient_prior_malignancy_Adenocarcinoma
Bladder Cancer,patient,prior_malignancy,patient_prior_malignancy_Bladder Cancer
Other malignant neoplasm without specification of site,patient,prior_malignancy,patient_prior_malignancy_Other malignant neoplasm without specification of site
Anal carcinoma|Breast Cancer,patient,prior_malignancy,patient_prior_malignancy_Anal carcinoma|Breast Cancer
Colon Cancer,patient,prior_malignancy,patient_prior_malignancy_Colon Cancer
Multiple Sclerosis,patient,prior_malignancy,patient_prior_malignancy_Multiple Sclerosis
Brain Cancer,patient,prior_malignancy,patient_prior_malignancy_Brain Cancer
Acute Promyelocytic Leukemia,patient,prior_malignancy,patient_prior_malignancy_Acute Promyelocytic Leukemia
Basal Cell Carcinoma|Squamous cell carcinoma,patient,prior_malignancy,patient_prior_malignancy_Basal Cell Carcinoma|Squamous cell carcinoma
Mature B-Cell Neoplasm,patient,prior_malignancy,patient_prior_malignancy_Mature B-Cell Neoplasm
Rectal Cancer,patient,prior_malignancy,patient_prior_malignancy_Rectal Cancer
Uterine Sarcoma|Breast Cancer,patient,prior_malignancy,patient_prior_malignancy_Uterine Sarcoma|Breast Cancer
Cervical Cancer,patient,prior_malignancy,patient_prior_malignancy_Cervical Cancer
B lymphoblastic leukaemia/lymphoma,patient,prior_malignancy,patient_prior_malignancy_B lymphoblastic leukaemia/lymphoma
Amyloid angiopathy|Basal Cell Carcinoma|Bladder Cancer|Monoclonal Gammopathy of Undetermined Significance (MGUS),patient,prior_malignancy,patient_prior_malignancy_Amyloid angiopathy|Basal Cell Carcinoma|Bladder Cancer|Monoclonal Gammopathy of Undetermined Significance (MGUS)
Uterine Cancer,patient,prior_malignancy,patient_prior_malignancy_Uterine Cancer
T lymphoblastic leukaemia/lymphoma,patient,prior_malignancy,patient_prior_malignancy_T lymphoblastic leukaemia/lymphoma
Not specified,patient,prior_malignancy,patient_prior_malignancy_Not specified
B lymphoblastic leukaemia/lymphoma with t(v;11q23); MLL rearranged,patient,prior_malignancy,patient_prior_malignancy_B lymphoblastic leukaemia/lymphoma with t(v;11q23); MLL rearranged
Prostate Cancer|Renal cell carcinoma,patient,prior_malignancy,patient_prior_malignancy_Prostate Cancer|Renal cell carcinoma
Squamous cell carcinoma|Lung Cancer,patient,prior_malignancy,patient_prior_malignancy_Squamous cell carcinoma|Lung Cancer
Pancreatic adenocarcinoma,patient,prior_malignancy,patient_prior_malignancy_Pancreatic adenocarcinoma
Follicular lymphoma,patient,prior_malignancy,patient_prior_malignancy_Follicular lymphoma
Juvenile pilocytic astrocytoma,patient,prior_malignancy,patient_prior_malignancy_Juvenile pilocytic astrocytoma
Fallopian Tube Cancer,patient,prior_malignancy,patient_prior_malignancy_Fallopian Tube Cancer
Thyroid Cancer,patient,prior_malignancy,patient_prior_malignancy_Thyroid Cancer
Acute Myeloid Leukemia,patient,prior_malignancy,patient_prior_malignancy_Acute Myeloid Leukemia
Leiomyosarcoma,patient,prior_malignancy,patient_prior_malignancy_Leiomyosarcoma
Dupuytren's|Skin cancer,patient,prior_malignancy,patient_prior_malignancy_Dupuytren's|Skin cancer
Mediastinum mass,patient,prior_malignancy,patient_prior_malignancy_Mediastinum mass
Cervical Cancer|Pituitary Tumor,patient,prior_malignancy,patient_prior_malignancy_Cervical Cancer|Pituitary Tumor
Pyoderma Gangrenosum,patient,prior_malignancy,patient_prior_malignancy_Pyoderma Gangrenosum
Pituitary macroadenoma,patient,prior_malignancy,patient_prior_malignancy_Pituitary macroadenoma
Anaplastic Astrocytoma,patient,prior_malignancy,patient_prior_malignancy_Anaplastic Astrocytoma
Bladder Cancer|Ovarian cancer,patient,prior_malignancy,patient_prior_malignancy_Bladder Cancer|Ovarian cancer
Endometrial cancer,patient,prior_malignancy,patient_prior_malignancy_Endometrial cancer
Dyskeratosis congenita,patient,prior_malignancy,patient_prior_malignancy_Dyskeratosis congenita
FALSE,sample,is_replapse,sample_is_replapse_FALSE
TRUE,sample,is_replapse,sample_is_replapse_TRUE
unknown,sample,is_replapse,sample_is_replapse_unknown
FALSE,sample,is_denovo,sample_is_denovo_FALSE
TRUE,sample,is_denovo,sample_is_denovo_TRUE
unknown,sample,is_denovo,sample_is_denovo_unknown
FALSE,sample,is_transformed,sample_is_transformed_FALSE
TRUE,sample,is_transformed,sample_is_transformed_TRUE
unknown,sample,is_transformed,sample_is_transformed_unknown
ACUTE MYELOID LEUKAEMIA (AML) AND RELATED PRECURSOR NEOPLASMS,sample,dx_at_inclusion,sample_dx_at_inclusion_ACUTE MYELOID LEUKAEMIA (AML) AND RELATED PRECURSOR NEOPLASMS
MYELOPROLIFERATIVE NEOPLASMS,sample,dx_at_inclusion,sample_dx_at_inclusion_MYELOPROLIFERATIVE NEOPLASMS
MYELODYSPLASTIC/MYELOPROLIFERATIVE NEOPLASMS,sample,dx_at_inclusion,sample_dx_at_inclusion_MYELODYSPLASTIC/MYELOPROLIFERATIVE NEOPLASMS
ACUTE LEUKAEMIAS OF AMBIGUOUS LINEAGE,sample,dx_at_inclusion,sample_dx_at_inclusion_ACUTE LEUKAEMIAS OF AMBIGUOUS LINEAGE
MYELODYSPLASTIC SYNDROMES,sample,dx_at_inclusion,sample_dx_at_inclusion_MYELODYSPLASTIC SYNDROMES
MATURE B-CELL NEOPLASMS,sample,dx_at_inclusion,sample_dx_at_inclusion_MATURE B-CELL NEOPLASMS
AML with mutated NPM1,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_AML with mutated NPM1
AML with t(6;9)(p23;q34); DEK-NUP214,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_AML with t(6;9)(p23;q34); DEK-NUP214
Acute myelomonocytic leukaemia,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_Acute myelomonocytic leukaemia
Mastocytosis,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_Mastocytosis
Therapy-related myeloid neoplasms,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_Therapy-related myeloid neoplasms
AML with minimal differentiation,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_AML with minimal differentiation
Chronic myelomonocytic leukaemia,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_Chronic myelomonocytic leukaemia
"Mixed phenotype acute leukaemia, T/myeloid, NOS",sample,specific_dx_at_inclusion,"sample_specific_dx_at_inclusion_Mixed phenotype acute leukaemia, T/myeloid, NOS"
Acute monoblastic and monocytic leukaemia ,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_Acute monoblastic and monocytic leukaemia 
AML with maturation,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_AML with maturation
AML without maturation,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_AML without maturation
AML with myelodysplasia-related changes,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_AML with myelodysplasia-related changes
unknown,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_unknown
AML with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_AML with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11
Acute promyelocytic leukaemia with t(15;17)(q22;q12); PML-RARA,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_Acute promyelocytic leukaemia with t(15;17)(q22;q12); PML-RARA
Acute undifferentiated leukaemia,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_Acute undifferentiated leukaemia
"Acute myeloid leukaemia, NOS",sample,specific_dx_at_inclusion,"sample_specific_dx_at_inclusion_Acute myeloid leukaemia, NOS"
AML with t(8;21)(q22;q22); RUNX1-RUNX1T1,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_AML with t(8;21)(q22;q22); RUNX1-RUNX1T1
Acute erythroid leukaemia,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_Acute erythroid leukaemia
Unknown,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_Unknown
AML with mutated CEBPA,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_AML with mutated CEBPA
Acute megakaryoblastic leukaemia,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_Acute megakaryoblastic leukaemia
AML with t(9;11)(p22;q23); MLLT3-MLL,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_AML with t(9;11)(p22;q23); MLLT3-MLL
Secondary myelofibrosis,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_Secondary myelofibrosis
AML with inv(3)(q21q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_AML with inv(3)(q21q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1
Refractory anaemia with excess blasts,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_Refractory anaemia with excess blasts
"Myelodysplastic syndrome, unclassifiable",sample,specific_dx_at_inclusion,"sample_specific_dx_at_inclusion_Myelodysplastic syndrome, unclassifiable"
"Atypical chronic myeloid leukaemia, BCR-ABL1 negative",sample,specific_dx_at_inclusion,"sample_specific_dx_at_inclusion_Atypical chronic myeloid leukaemia, BCR-ABL1 negative"
Myeloid sarcoma,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_Myeloid sarcoma
Blastic plasmacytoid dendritic cell neoplasm,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_Blastic plasmacytoid dendritic cell neoplasm
Essential thrombocythaemia,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_Essential thrombocythaemia
Refractory cytopenia with multilineage dysplasia,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_Refractory cytopenia with multilineage dysplasia
Myelodysplastic syndrome associated with isolated del(5q),sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_Myelodysplastic syndrome associated with isolated del(5q)
Myeloid leukaemia associated with Down syndrome,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_Myeloid leukaemia associated with Down syndrome
"Myelodysplastic/myeloproliferative neoplasm, unclassifiable",sample,specific_dx_at_inclusion,"sample_specific_dx_at_inclusion_Myelodysplastic/myeloproliferative neoplasm, unclassifiable"
Plasma cell myeloma,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_Plasma cell myeloma
Primary myelofibrosis,sample,specific_dx_at_inclusion,sample_specific_dx_at_inclusion_Primary myelofibrosis
"Mixed phenotype acute leukaemia, B/myeloid, NOS",sample,specific_dx_at_inclusion,"sample_specific_dx_at_inclusion_Mixed phenotype acute leukaemia, B/myeloid, NOS"
Intermediate,sample,eln2017_criteria,sample_eln2017_criteria_Intermediate
NonInitial,sample,eln2017_criteria,sample_eln2017_criteria_NonInitial
FavorableOrIntermediate,sample,eln2017_criteria,sample_eln2017_criteria_FavorableOrIntermediate
Adverse,sample,eln2017_criteria,sample_eln2017_criteria_Adverse
IntermediateOrAdverse,sample,eln2017_criteria,sample_eln2017_criteria_IntermediateOrAdverse
NonAML,sample,eln2017_criteria,sample_eln2017_criteria_NonAML
MissingMutations,sample,eln2017_criteria,sample_eln2017_criteria_MissingMutations
Favorable,sample,eln2017_criteria,sample_eln2017_criteria_Favorable
MissingKaryo,sample,eln2017_criteria,sample_eln2017_criteria_MissingKaryo
ACUTE MYELOID LEUKAEMIA (AML) AND RELATED PRECURSOR NEOPLASMS,sample,dx_at_specimen_acquisition,sample_dx_at_specimen_acquisition_ACUTE MYELOID LEUKAEMIA (AML) AND RELATED PRECURSOR NEOPLASMS
MYELODYSPLASTIC/MYELOPROLIFERATIVE NEOPLASMS,sample,dx_at_specimen_acquisition,sample_dx_at_specimen_acquisition_MYELODYSPLASTIC/MYELOPROLIFERATIVE NEOPLASMS
ACUTE LEUKAEMIAS OF AMBIGUOUS LINEAGE,sample,dx_at_specimen_acquisition,sample_dx_at_specimen_acquisition_ACUTE LEUKAEMIAS OF AMBIGUOUS LINEAGE
MYELODYSPLASTIC SYNDROMES,sample,dx_at_specimen_acquisition,sample_dx_at_specimen_acquisition_MYELODYSPLASTIC SYNDROMES
MYELOPROLIFERATIVE NEOPLASMS,sample,dx_at_specimen_acquisition,sample_dx_at_specimen_acquisition_MYELOPROLIFERATIVE NEOPLASMS
MATURE B-CELL NEOPLASMS,sample,dx_at_specimen_acquisition,sample_dx_at_specimen_acquisition_MATURE B-CELL NEOPLASMS
AML with mutated NPM1,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_AML with mutated NPM1
AML with t(6;9)(p23;q34); DEK-NUP214,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_AML with t(6;9)(p23;q34); DEK-NUP214
Acute myelomonocytic leukaemia,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_Acute myelomonocytic leukaemia
Therapy-related myeloid neoplasms,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_Therapy-related myeloid neoplasms
AML with minimal differentiation,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_AML with minimal differentiation
Chronic myelomonocytic leukaemia,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_Chronic myelomonocytic leukaemia
"Mixed phenotype acute leukaemia, T/myeloid, NOS",sample,specific_dx_at_acquisition,"sample_specific_dx_at_acquisition_Mixed phenotype acute leukaemia, T/myeloid, NOS"
Acute monoblastic and monocytic leukaemia ,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_Acute monoblastic and monocytic leukaemia 
AML with myelodysplasia-related changes,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_AML with myelodysplasia-related changes
AML with maturation,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_AML with maturation
AML without maturation,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_AML without maturation
unknown,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_unknown
AML with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_AML with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11
Acute promyelocytic leukaemia with t(15;17)(q22;q12); PML-RARA,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_Acute promyelocytic leukaemia with t(15;17)(q22;q12); PML-RARA
Acute undifferentiated leukaemia,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_Acute undifferentiated leukaemia
"Acute myeloid leukaemia, NOS",sample,specific_dx_at_acquisition,"sample_specific_dx_at_acquisition_Acute myeloid leukaemia, NOS"
AML with t(8;21)(q22;q22); RUNX1-RUNX1T1,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_AML with t(8;21)(q22;q22); RUNX1-RUNX1T1
Acute erythroid leukaemia,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_Acute erythroid leukaemia
Unknown,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_Unknown
AML with mutated CEBPA,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_AML with mutated CEBPA
Acute megakaryoblastic leukaemia,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_Acute megakaryoblastic leukaemia
AML with t(9;11)(p22;q23); MLLT3-MLL,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_AML with t(9;11)(p22;q23); MLLT3-MLL
AML with inv(3)(q21q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_AML with inv(3)(q21q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1
Refractory anaemia with excess blasts,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_Refractory anaemia with excess blasts
"Myelodysplastic syndrome, unclassifiable",sample,specific_dx_at_acquisition,"sample_specific_dx_at_acquisition_Myelodysplastic syndrome, unclassifiable"
"Atypical chronic myeloid leukaemia, BCR-ABL1 negative",sample,specific_dx_at_acquisition,"sample_specific_dx_at_acquisition_Atypical chronic myeloid leukaemia, BCR-ABL1 negative"
Myeloid sarcoma,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_Myeloid sarcoma
Blastic plasmacytoid dendritic cell neoplasm,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_Blastic plasmacytoid dendritic cell neoplasm
Essential thrombocythaemia,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_Essential thrombocythaemia
Refractory cytopenia with multilineage dysplasia,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_Refractory cytopenia with multilineage dysplasia
Myelodysplastic syndrome associated with isolated del(5q),sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_Myelodysplastic syndrome associated with isolated del(5q)
Myeloid leukaemia associated with Down syndrome,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_Myeloid leukaemia associated with Down syndrome
"Myelodysplastic/myeloproliferative neoplasm, unclassifiable",sample,specific_dx_at_acquisition,"sample_specific_dx_at_acquisition_Myelodysplastic/myeloproliferative neoplasm, unclassifiable"
Plasma cell myeloma,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_Plasma cell myeloma
Primary myelofibrosis,sample,specific_dx_at_acquisition,sample_specific_dx_at_acquisition_Primary myelofibrosis
"Mixed phenotype acute leukaemia, B/myeloid, NOS",sample,specific_dx_at_acquisition,"sample_specific_dx_at_acquisition_Mixed phenotype acute leukaemia, B/myeloid, NOS"
Initial Acute Leukemia Diagnosis,sample,specimen_groups,sample_specimen_groups_Initial Acute Leukemia Diagnosis
"Relapse,Post-Transplant,Post-Chemotherapy",sample,specimen_groups,"sample_specimen_groups_Relapse,Post-Transplant,Post-Chemotherapy"
"Post-Transplant,Residual Disease",sample,specimen_groups,"sample_specimen_groups_Post-Transplant,Residual Disease"
"Residual Disease,Post-Transplant",sample,specimen_groups,"sample_specimen_groups_Residual Disease,Post-Transplant"
"Post-Chemotherapy,Residual Disease",sample,specimen_groups,"sample_specimen_groups_Post-Chemotherapy,Residual Disease"
"Relapse,Post-Chemotherapy",sample,specimen_groups,"sample_specimen_groups_Relapse,Post-Chemotherapy"
"Residual Disease,Post-Chemotherapy",sample,specimen_groups,"sample_specimen_groups_Residual Disease,Post-Chemotherapy"
Relapse,sample,specimen_groups,sample_specimen_groups_Relapse
Residual Disease,sample,specimen_groups,sample_specimen_groups_Residual Disease
"Post-DLI,Residual Disease,Post-Transplant",sample,specimen_groups,"sample_specimen_groups_Post-DLI,Residual Disease,Post-Transplant"
"Initial Acute Leukemia Diagnosis,Post-Chemotherapy",sample,specimen_groups,"sample_specimen_groups_Initial Acute Leukemia Diagnosis,Post-Chemotherapy"
Unknown,sample,specimen_groups,sample_specimen_groups_Unknown
Post-Chemotherapy,sample,specimen_groups,sample_specimen_groups_Post-Chemotherapy
"Post-Transplant,Post-Chemotherapy,Residual Disease",sample,specimen_groups,"sample_specimen_groups_Post-Transplant,Post-Chemotherapy,Residual Disease"
"Post-Chemotherapy,Post-Transplant,Relapse",sample,specimen_groups,"sample_specimen_groups_Post-Chemotherapy,Post-Transplant,Relapse"
"Post-Chemotherapy,Post-Transplant,Residual Disease",sample,specimen_groups,"sample_specimen_groups_Post-Chemotherapy,Post-Transplant,Residual Disease"
"Residual Disease,Post-Transplant,Post-Chemotherapy",sample,specimen_groups,"sample_specimen_groups_Residual Disease,Post-Transplant,Post-Chemotherapy"
"Post-Chemotherapy,Relapse",sample,specimen_groups,"sample_specimen_groups_Post-Chemotherapy,Relapse"
"Residual Disease,Post-Chemotherapy,Post-Transplant",sample,specimen_groups,"sample_specimen_groups_Residual Disease,Post-Chemotherapy,Post-Transplant"
"Post-Chemotherapy,Post-Transplant",sample,specimen_groups,"sample_specimen_groups_Post-Chemotherapy,Post-Transplant"
"Initial Acute Leukemia Diagnosis,Post-Transplant,Post-Chemotherapy",sample,specimen_groups,"sample_specimen_groups_Initial Acute Leukemia Diagnosis,Post-Transplant,Post-Chemotherapy"
"Post-Chemotherapy,Initial Acute Leukemia Diagnosis",sample,specimen_groups,"sample_specimen_groups_Post-Chemotherapy,Initial Acute Leukemia Diagnosis"
"Initial Acute Leukemia Diagnosis,Post-Chemotherapy,Post-Transplant",sample,specimen_groups,"sample_specimen_groups_Initial Acute Leukemia Diagnosis,Post-Chemotherapy,Post-Transplant"
"Residual Disease,Post-Chemotherapy,Post-DLI,Post-Transplant",sample,specimen_groups,"sample_specimen_groups_Residual Disease,Post-Chemotherapy,Post-DLI,Post-Transplant"
"Post-Chemotherapy,Post-Transplant,Post-DLI,Initial Acute Leukemia Diagnosis",sample,specimen_groups,"sample_specimen_groups_Post-Chemotherapy,Post-Transplant,Post-DLI,Initial Acute Leukemia Diagnosis"
"Post-Chemotherapy,Post-DLI,Post-Transplant,Residual Disease",sample,specimen_groups,"sample_specimen_groups_Post-Chemotherapy,Post-DLI,Post-Transplant,Residual Disease"
"Post-Chemotherapy,Residual Disease,Post-Transplant",sample,specimen_groups,"sample_specimen_groups_Post-Chemotherapy,Residual Disease,Post-Transplant"
"Post-Transplant,Post-Chemotherapy",sample,specimen_groups,"sample_specimen_groups_Post-Transplant,Post-Chemotherapy"
"Relapse,Post-Chemotherapy,Post-Transplant",sample,specimen_groups,"sample_specimen_groups_Relapse,Post-Chemotherapy,Post-Transplant"
"Post-Transplant,Relapse,Post-Chemotherapy",sample,specimen_groups,"sample_specimen_groups_Post-Transplant,Relapse,Post-Chemotherapy"
"Post-Transplant,Relapse",sample,specimen_groups,"sample_specimen_groups_Post-Transplant,Relapse"
"Post-Chemotherapy,Post-Transplant,Initial Acute Leukemia Diagnosis",sample,specimen_groups,"sample_specimen_groups_Post-Chemotherapy,Post-Transplant,Initial Acute Leukemia Diagnosis"
"Post-Chemotherapy,Relapse,Post-Transplant",sample,specimen_groups,"sample_specimen_groups_Post-Chemotherapy,Relapse,Post-Transplant"
Initial Diagnosis,sample,disease_stage_at_specimen_collection,sample_disease_stage_at_specimen_collection_Initial Diagnosis
Relapse,sample,disease_stage_at_specimen_collection,sample_disease_stage_at_specimen_collection_Relapse
Residual,sample,disease_stage_at_specimen_collection,sample_disease_stage_at_specimen_collection_Residual
Unknown,sample,disease_stage_at_specimen_collection,sample_disease_stage_at_specimen_collection_Unknown
Remission,sample,disease_stage_at_specimen_collection,sample_disease_stage_at_specimen_collection_Remission
Bone Marrow Aspirate,sample,specimen_type,sample_specimen_type_Bone Marrow Aspirate
Peripheral Blood,sample,specimen_type,sample_specimen_type_Peripheral Blood
Leukapheresis,sample,specimen_type,sample_specimen_type_Leukapheresis
n,sample,rnaseq_availability,sample_rnaseq_availability_n
y,sample,rnaseq_availability,sample_rnaseq_availability_y
y,sample,exomeseq_available,sample_exomeseq_available_y
n,sample,exomeseq_available,sample_exomeseq_available_n
NexteraV1.2,mutation,capture_chemistry,mutation_capture_chemistry_NexteraV1.2
Nimblegen Custom Capture,mutation,capture_chemistry,mutation_capture_chemistry_Nimblegen Custom Capture
varscan,mutation,genotyper,mutation_genotyper_varscan
mutect,mutation,genotyper,mutation_genotyper_mutect
frameshift_variant,mutation,variant_classification,mutation_variant_classification_frameshift_variant
missense_variant,mutation,variant_classification,mutation_variant_classification_missense_variant
stop_gained,mutation,variant_classification,mutation_variant_classification_stop_gained
inframe_deletion,mutation,variant_classification,mutation_variant_classification_inframe_deletion
splice_acceptor_variant,mutation,variant_classification,mutation_variant_classification_splice_acceptor_variant
protein_altering_variant,mutation,variant_classification,mutation_variant_classification_protein_altering_variant
splice_donor_variant,mutation,variant_classification,mutation_variant_classification_splice_donor_variant
start_lost,mutation,variant_classification,mutation_variant_classification_start_lost
inframe_insertion,mutation,variant_classification,mutation_variant_classification_inframe_insertion
stop_lost,mutation,variant_classification,mutation_variant_classification_stop_lost
protein_coding,mutation,biotype,mutation_biotype_protein_coding
IG_J_gene,mutation,biotype,mutation_biotype_IG_J_gene
nonsense_mediated_decay,mutation,biotype,mutation_biotype_nonsense_mediated_decay
IG_V_gene,mutation,biotype,mutation_biotype_IG_V_gene
polymorphic_pseudogene,mutation,biotype,mutation_biotype_polymorphic_pseudogene
TR_V_gene,mutation,biotype,mutation_biotype_TR_V_gene
IG_C_gene,mutation,biotype,mutation_biotype_IG_C_gene
lincRNA,mutation,biotype,mutation_biotype_lincRNA
processed_transcript,mutation,biotype,mutation_biotype_processed_transcript
unprocessed_pseudogene,mutation,biotype,mutation_biotype_unprocessed_pseudogene
DEK-NUP214,fusion,consensus_aml_fusions,fusion_consensus_aml_fusions_DEK-NUP214
KMT2A_re,fusion,consensus_aml_fusions,fusion_consensus_aml_fusions_KMT2A_re
CBFB-MYH11,fusion,consensus_aml_fusions,fusion_consensus_aml_fusions_CBFB-MYH11
PML-RARA,fusion,consensus_aml_fusions,fusion_consensus_aml_fusions_PML-RARA
RUNX1-RUNX1T1,fusion,consensus_aml_fusions,fusion_consensus_aml_fusions_RUNX1-RUNX1T1
MLLT3-KMT2A,fusion,consensus_aml_fusions,fusion_consensus_aml_fusions_MLLT3-KMT2A
GATA2-MECOM,fusion,consensus_aml_fusions,fusion_consensus_aml_fusions_GATA2-MECOM
BCR-ABL1,fusion,consensus_aml_fusions,fusion_consensus_aml_fusions_BCR-ABL1
